,mean,median,std,var,q05,q25,q75,q95,min,max,AIQ,skewness,kurtosis,n_zeros,n_negative,normality_p,n_unique,mode,mode_freq,mode_pct,n_missing,pct_missing,corr_ros_p,R2_ros_p,VIF,var_type
int_i,3811.8203452065577,-1.0,7990.333769179238,63845433.74288609,-1.0,-1.0,4131.602381,18158.135503699974,-1.0,84706.08998,4132.602381,3.896638042656129,20.394083969946905,0.0,1718.0,0.0,,,,,0.0,0.0,0.7068532283829111,0.49964148647534384,1.9985669734201952,numeric
int_p,4151.150920907899,360.168312,8861.304615708807,78522719.49238218,-1.0,-1.0,4281.4634985,20843.611478599996,-1.0,109922.680681,4282.4634985,4.21280428235476,25.190531692888023,0.0,1645.0,0.0,,,,,0.0,0.0,0.7757093545052247,0.6017250026669124,2.510827962327935,numeric
qc,3.498360655737705,4.0,0.9642910248272976,0.9298571805624798,2.0,3.0,4.0,5.0,1.0,5.0,1.0,-0.38463007658994114,0.08908449621264758,0.0,0.0,8.29216145505495e-18,,,,,0.0,0.0,0.14526480488436788,0.02110186353809347,1.0215567511593835,numeric
rh_2m_av,3.648819466226793,3.6801237548029144,0.4436038812619007,0.1967844034706225,2.9122920217324424,3.323532164599554,4.002002304129443,4.314364629071528,2.182719258561284,4.508999680036773,0.6784701395298884,-0.26724381325239766,-0.6206381249322122,0.0,0.0,5.091236412458859e-18,,,,,1657.0,49.38897168405365,-0.3434837350287674,0.11798107622931249,1.1337625226054515,numeric
rh_300_av,3.7141833776302544,3.712004811334645,0.7415906822729987,0.5499567400341318,2.379322360057018,3.2347468995838855,4.420844940443666,4.64797186634762,1.436673411548092,4.734653718551962,1.1860980408597803,-0.5018657447965471,-0.3990579126144649,0.0,0.0,1.6938444143968521e-18,,,,,1657.0,49.38897168405365,-0.0961890962877567,0.00925234224465533,1.0093387475329667,numeric
rh_500_av,3.2165215432402894,3.3880006230354622,0.8508163983614238,0.723888543720705,1.697243980325267,2.6098842962601974,3.950202531710884,4.318942900608928,0.303449954767659,4.624985678455038,1.3403182354506868,-0.5347900261292766,-0.6022969940285909,0.0,0.0,2.939774712779248e-28,,,,,1657.0,49.38897168405365,0.026596961980998576,0.0007073983866186837,1.0007078991533376,numeric
rh_700_av,3.41254528507892,3.668537867319599,0.7322692731126254,0.5362182883448927,1.9745665404368264,2.992011280342187,3.9844118047835706,4.240157269405399,0.372382126351283,4.523146046851961,0.9924005244413836,-1.1289491981750779,1.034459895865095,0.0,0.0,3.315043872957812e-61,,,,,1657.0,49.38897168405365,-0.007106655535854426,5.0504552905290355e-05,1.000050507103744,numeric
rh_850_av,3.4653406887914757,3.507080877968304,0.4688416053018852,0.2198124508620487,2.604826484204111,3.257413717600481,3.736825591009629,4.196624599437241,0.281431748664736,4.536794216407849,0.4794118734091479,-0.9538209019626005,3.2989649584898775,0.0,0.0,2.9774382844084485e-71,,,,,1657.0,49.38897168405365,-0.11333009414185133,0.012843710238200886,1.0130108174069377,numeric
rh_950_av,3.5725861586466943,3.565014515595095,0.4592361268398084,0.2108978201948286,2.8282406434226894,3.2803180887727663,3.90499278455031,4.288182103011796,0.734601023075405,4.591382763020805,0.6246746957775438,-0.5039035013515636,1.7062961360823135,0.0,0.0,1.5283224408221124e-29,,,,,1657.0,49.38897168405365,-0.2787755874851558,0.07771582817769375,1.084264514725584,numeric
ros_i,352.3642013466468,-1.0,738.747571176846,545747.9739196892,-1.0,-1.0,385.22758799999997,1656.0771473999964,-1.0,7320.941804,386.22758799999997,3.9552318917258886,20.932297509896387,0.0,1718.0,0.0,,,,,0.0,0.0,0.7135765166743191,0.5091914451490548,2.037454298863418,numeric
ros_p,5.9647222531599615,5.980470270933466,1.1765292418212143,1.3842210568604016,4.11190967838035,5.060437030135798,6.8413623042336695,7.856022747444383,1.430013594587216,9.099319477669836,1.7809252740978714,-0.023374186335390942,-0.39398533965137794,0.0,0.0,0.00017879339597392914,,,,,1644.0,49.00149031296572,,,,numeric
ros_p_lg1,6.164669681755191,6.190027794824929,1.1764145962301347,1.3839513022233105,4.326558108674659,5.248077723387194,7.067643220723161,8.010225171851687,1.430013594587216,9.099319477669836,1.819565497335967,-0.1423372117802134,-0.49499443777596763,0.0,0.0,9.321313929201933e-07,,,,,2068.0,61.63934426229508,0.5590626430427088,0.31255103884589924,1.4546534455753388,numeric
ros_p_lg10,5.783932301283442,5.758172292644121,1.1931128828788762,1.4235183512915428,3.658205661751869,5.035365117720177,6.5632191051653095,7.705952731267063,1.430013594587216,9.099319477669836,1.5278539874451322,-0.0552264468819761,0.23281721185870596,0.0,0.0,0.49537198534565485,,,,,2865.0,85.39493293591654,0.247854502454313,0.061431854386875054,1.0654527374213667,numeric
ros_p_lg2,6.111531648419274,6.158960227138175,1.1810521010674846,1.39488406543592,4.261156445652245,5.211719313219322,6.972571385651779,8.010225171851687,1.430013594587216,8.898494260427778,1.7608520724324572,-0.1365159163275533,-0.3571442007758483,0.0,0.0,0.001962972692451082,,,,,2202.0,65.63338301043218,0.5280070830734974,0.2787914797757832,1.3865615449039754,numeric
ros_p_lg3,6.047099850870497,6.06249370528857,1.1815365371637885,1.3960285886529964,4.244283025967294,5.164377292614798,6.9400123018543,8.01928730743692,1.430013594587216,9.099319477669836,1.775635009239502,-0.06522589959096171,-0.3372275691216333,0.0,0.0,0.02395090876004298,,,,,2340.0,69.74664679582713,0.4866708729093377,0.23684853853833673,1.3103558736357537,numeric
ros_p_lg4,5.974292850748393,5.97041985787213,1.1842456856483563,1.4024378439767453,4.119254036565516,5.126829516473364,6.868254123332957,7.900870506992711,1.430013594587216,9.099319477669836,1.7414246068595922,-0.022727566347927004,-0.26447396099729703,0.0,0.0,0.1920317453566822,,,,,2468.0,73.5618479880775,0.4238043159566616,0.17961009822349389,1.2189326048925746,numeric
ros_p_lg5,5.976584258937578,5.933425450538069,1.204482455836794,1.450777986418634,4.112339070335608,5.121749368246945,6.893878546183148,8.010225171851687,1.430013594587216,9.099319477669836,1.7721291779362032,0.0005056410563641684,-0.2980858436443623,0.0,0.0,0.1390984137953183,,,,,2539.0,75.67809239940388,0.35877356014167083,0.1287184674567291,1.1477346444851182,numeric
ros_p_lg6,5.856126687669289,5.793272276146266,1.212447035601191,1.4700278141381156,3.966156608157497,5.034162740339005,6.690680761269943,7.960661552444763,1.430013594587216,9.099319477669836,1.656518020930938,0.09284134409803392,-0.15209231442296245,0.0,0.0,0.4248925764555178,,,,,2642.0,78.74813710879285,0.32218011196305824,0.10380002454452875,1.1158223916395167,numeric
ros_p_lg7,5.857520379525789,5.794692167733649,1.2310072434157306,1.5153788333419962,3.932710698890192,5.010115040976145,6.702672634392197,8.009190672732773,1.430013594587216,9.099319477669836,1.6925575934160522,0.06655263899225108,-0.15084877790329276,0.0,0.0,0.5858404747953727,,,,,2711.0,80.80476900149031,0.2829835906803826,0.08007971259436232,1.0870507082958278,numeric
ros_p_lg8,5.798471358974478,5.786132564428905,1.230469203319124,1.5140544603167998,3.792625587357432,4.981364871136075,6.591832039209086,7.818284175789133,1.430013594587216,9.099319477669836,1.6104671680730105,0.008697505299092571,-0.08630891439995825,0.0,0.0,0.9344194278237303,,,,,2768.0,82.5037257824143,0.2798405081396086,0.07831070999583434,1.0849643267477702,numeric
ros_p_lg9,5.7595078607082195,5.754891727945067,1.2255076171472419,1.5018689196859105,3.658205661751869,4.980484685907996,6.551851071202606,7.782902851912958,1.430013594587216,9.099319477669836,1.5713663852946098,0.028003459287335372,0.07660661634361166,0.0,0.0,0.8709005623051327,,,,,2827.0,84.26229508196721,0.23532988551563946,0.055380155016803975,1.058626923106606,numeric
sP_hPa_av,6.870638317667931,6.866887573932605,0.025271260334398343,0.000638636598888935,6.83022752745887,6.855129654348655,6.889278261701268,6.917632962663199,6.793955370072656,6.923631525949533,0.034148607352612714,0.03658649987384797,-0.3208692653135343,0.0,0.0,0.005150705063001603,,,,,1657.0,49.38897168405365,0.11766228337872109,0.013844412929894466,1.014038771479282,numeric
sW_1m_av,-1.7038024507422302,-1.6241137139150625,0.30129964409716753,0.09078147553307982,-2.48084904932393,-1.740684189479215,-1.5206334601901859,-1.4779127497086026,-3.687257497301534,-1.16002155575875,0.22005072928902925,-2.7244738758411917,8.490646982194853,0.0,1698.0,2.0111797555393526e-214,,,,,1657.0,49.38897168405365,-0.15245039676572542,0.0232411234740271,1.0237941256870768,numeric
sW_3m_av,-1.424626618468736,-1.329703125538631,0.30609731386706374,0.09369556555663172,-2.0718555731295134,-1.4349676072093027,-1.2436075129686492,-1.2210856895855382,-3.635150684502855,-1.014482929416737,0.19136009424065348,-2.8069941365012983,9.351229629416196,0.0,1698.0,1.2394393321691181e-222,,,,,1657.0,49.38897168405365,-0.14291284570233986,0.020424081466740802,1.0208499219716654,numeric
spdir_i,79.6026617600596,-1.0,109.90525051912815,12079.164091672319,-1.0,-1.0,152.236431,319.46077909999997,-1.0,359.970342,153.236431,1.1069503581186315,-0.12595479988904934,0.0,1718.0,6.583685073020503e-102,,,,,0.0,0.0,-0.09774376065068802,0.009553842746138987,1.0096459991047149,numeric
spdir_p,84.00220731743667,7.254632,110.56065254580632,12223.65789135451,-1.0,-1.0,156.548257,318.4700987,-1.0,359.772843,157.548257,1.0248867556366372,-0.30078854852244197,0.0,1644.0,2.1707203512141698e-94,,,,,0.0,0.0,-0.1260927021279411,0.015899369529925683,1.0161562436174145,numeric
t_2m_C_av,3.235660408405669,3.24041522622328,0.21518176354057206,0.046303191360430665,2.8862997730506748,3.068095073218098,3.4146030628737982,3.5516097434344176,2.627938549607749,3.666253738595814,0.3465079896557004,-0.15304871827603825,-0.818080380168781,0.0,0.0,1.5453206154932883e-35,,,,,1657.0,49.38897168405365,0.17597813149820624,0.030968302765599965,1.0319579873950284,numeric
t_300_av,,,,,,,,,,,,,,0.0,0.0,,,,,,3355.0,100.0,,,,numeric
t_500_av,,,,,,,,,,,,,,0.0,0.0,,,,,,3355.0,100.0,,,,numeric
t_700_av,2.0205595910352994,2.145555439936461,0.41971242294580074,0.1761585179750347,1.2092958062928765,1.8405592908682697,2.3018863908589027,2.4844694866249806,-1.418358129225033,2.788601718612949,0.4613270999906329,-1.2721980342723054,2.804525432928453,0.0,1.0,2.376235629061749e-88,,,,,1657.0,49.38897168405365,-0.05779345831878995,0.0033400838244457116,1.0033512773717865,numeric
t_850_av,2.9598304889116696,2.994126445320692,0.2049778664767936,0.042015925745378234,2.6007502035029173,2.8250939860034636,3.1211717259915552,3.217579943713357,2.058719610797901,3.341198598174867,0.2960777399880916,-0.7305116503621166,0.1957409064893536,0.0,0.0,4.644788596260907e-28,,,,,1657.0,49.38897168405365,0.0018421179450209184,3.393398523368091e-06,1.0000033934100385,numeric
t_950_av,3.2228509811593335,3.2547816447974514,0.19825296788283378,0.03930423927435192,2.8618535937182505,3.0865026655391627,3.3850685022233047,3.492660504831108,2.63242840333806,3.607181748807894,0.29856583668414194,-0.5535187819404349,-0.5083168453200071,0.0,0.0,1.247825387423364e-24,,,,,1657.0,49.38897168405365,0.10485743348769408,0.010995081357626188,1.0111173171643264,numeric
vwv_300_av,-1.8189774232086444,-1.664071593703349,1.0717906235443937,1.14873514071768,-3.8549587449456477,-2.3517885922550246,-1.0696528612733869,-0.385102281441788,-7.098044314011587,0.185857059891024,1.2821357309816377,-1.0556278629088807,1.6587092653013147,0.0,699.0,3.5905431840427885e-27,,,,,2648.0,78.92697466467958,0.027383914658414617,0.000749878782019335,1.000750441522194,numeric
