,AIQ,R2_log_ros_p,R2_ros_p,corr_log_ros_p,corr_ros_p,cv,entropy,kurtosis,max,max_entropy,mean,median,min,mode,mode2,mode2_freq,mode2_pct,mode_freq,mode_pct,n,n_missing,n_negative,n_positive,n_total,n_unique,n_zeros,normality_p,normality_stat,pct_complete,pct_missing,pct_negative,pct_positive,pct_unique,pct_zeros,q25,q75,range,rel_entropy,sem,shapiro_p,shapiro_stat,skewness,std,var,VIF,var_type
gp_300_av,1013.9575141176174,2.9865746016282565e-05,0.008941534977608967,0.00546495617697732,-0.09455969002492007,0.7704193810074929,,-0.5720824690223187,96068.796875,,94111.81220819168,94148.60948038968,92008.83035258797,,,,,,,1698,1657,0.0,1698.0,3355,,0.0,3.628386095148371e-11,48.079296150819935,50.61102831594635,49.38897168405365,0.0,50.61102831594635,,0.0,93611.72098926408,94625.6785033817,4059.9665224120254,,17.59553567038838,3.057199019969841e-14,0.9809515857779552,0.06340168119805181,725.0556410692844,525705.682646391,1.0090222073602964,numeric
gp_500_av,670.3875130080778,0.00023813752149347866,0.006357044001424689,-0.015431705074082988,-0.07973107299807704,0.8198731919309792,,-0.044331417115409444,58663.50434027778,,57509.86932248261,57533.79297820256,55771.2734375,,,,,,,1698,1657,0.0,1698.0,3355,,0.0,0.0025488270133726468,11.94424404079534,50.61102831594635,49.38897168405365,0.0,50.61102831594635,,0.0,57173.51385417942,57843.9013671875,2892.230902777781,,11.442481632621943,9.337627312977349e-11,0.9878349054980953,-0.20590911371915027,471.5080012895732,222319.79528008818,1.0063977145543552,numeric
gp_700_av,302.98123499218855,0.0002186130955408318,2.8623293825930902e-05,0.014785570517935106,0.005350074188824946,1.0462273770993802,,1.524724086536211,32080.28378151526,,31211.34912434866,31235.13330078125,29837.3232421875,,,,,,,1698,1657,0.0,1698.0,3355,,0.0,1.6171791804877156e-41,187.85061085571215,50.61102831594635,49.38897168405365,0.0,50.61102831594635,,0.0,31068.877389259218,31371.858624251407,2242.9605393277598,,7.92446184893593,4.766304215737015e-24,0.9479667554191273,-0.7486969338203177,326.5416793010034,106629.46832071934,1.0000286241131424,numeric
gp_850_av,222.0134548611113,0.003292113530131629,0.005894830431775604,0.05737694249549752,0.07677779908134645,1.5101893675125633,,1.6240290661868064,15831.883046262097,,15167.473254924735,15194.277165465337,14310.8076171875,,,,,,,1698,1657,0.0,1698.0,3355,,0.0,3.677195526016047e-48,218.44386817477942,50.61102831594635,49.38897168405365,0.0,50.61102831594635,,0.0,15072.843967013889,15294.857421875,1521.0754290745972,,5.558732857654268,3.871909089808658e-25,0.9426823895363092,-0.8383021216420441,229.05756841618503,52467.36964873529,1.005929785511865,numeric
gp_950_av,345.5199947437104,0.0015417293700572526,0.004921579093442295,0.03926486177305674,0.07015396705420368,3.988102179878678,,-0.36981300743012646,6396.842860245257,,5687.500995013301,5687.314431258483,5051.541748046875,,,,,,,1698,1657,0.0,1698.0,3355,,0.0,8.887778500014697e-06,23.26166685435591,50.61102831594635,49.38897168405365,0.0,50.61102831594635,,0.0,5522.55227088129,5868.072265625,1345.3011121983818,,5.5045132265645895,3.919873849975889e-09,0.9904047588059188,-0.1772216660558066,226.82335116274695,51448.83263269882,1.0049459208340168,numeric
gp_m2s2_av,3265.82399197998,0.017876345518174398,0.025057463698045117,-0.13370245142918807,-0.1582954948760233,47.55177546085342,,-0.41754133532424387,10975.336867578731,,4602.517616288919,5093.921511542675,123.44318270645124,,,,,,,1698,1657,0.0,1698.0,3355,,0.0,1.1936132029719872e-05,22.671880906185756,50.61102831594635,49.38897168405365,0.0,50.61102831594635,,0.0,2785.91162109375,6051.73561307373,10851.89368487228,,53.112085346839805,1.6217395221281049e-16,0.9752864657454748,-0.10212303830230925,2188.57884244393,4789877.349593213,1.025701477538451,numeric
growth_rat,49.84375,0.18943935359547853,0.6176749204683366,0.4352463137069383,0.7859229736229477,316.95025075127035,,49.25369326877724,4430.0,,95.08570007660208,1.25,-1.0,,,,,,,3355,0,1640.0,1715.0,3355,,0.0,0.0,3889.2037268867807,100.0,0.0,48.8822652757079,51.1177347242921,,0.0,-1.0,48.84375,4431.0,,5.203074517305797,1.9581618954872107e-76,0.3418116488800029,6.109107586502138,301.37436482139117,90826.50777149698,2.615575209517957,numeric
id,1682.0,0.0016190899373102225,0.002499258840306262,0.040237916662151166,0.049992587853663485,57.65185266616582,,-1.198281040514244,3367.0,,1686.655737704918,1689.0,1.0,,,,,,,3355,0,0.0,3355.0,3355,,0.0,0.0,2759.773156602999,100.0,0.0,0.0,100.0,,0.0,846.5,2528.5,3366.0,,16.78778713713345,5.2963664722785055e-31,0.9549514195832244,-0.005753208745332946,972.3882808870716,945538.9688065144,1.0025055207852784,numeric
inidoy,227.6006945,0.907426305223845,0.2606914597074783,0.9525892636513625,0.5105795331850644,101.78821576409037,,-1.7712055355286078,289.875,,115.40009107451564,169.083333,-1.0,,,,,,,3355,0,1640.0,1715.0,3355,,0.0,0.0,13903.506441788542,100.0,0.0,48.8822652757079,51.1177347242921,,0.0,-1.0,226.6006945,290.875,,2.0279506909443956,1.1951949365359232e-56,0.7632784447959986,0.13315952102609555,117.46369369488477,13797.719336445713,1.3526152418100441,numeric
int_i,4132.602381,0.3672614865232672,0.7242145071907898,0.6060210281197074,0.8510079360327903,209.61989405474597,,20.394083969946905,84706.08998,,3811.8203452065577,-1.0,-1.0,,,,,,,3355,0,1718.0,1637.0,3355,,0.0,0.0,2768.717563732383,100.0,0.0,51.20715350223547,48.79284649776453,,0.0,-1.0,4131.602381,84707.08998,,137.9490324063342,1.5183907781341763e-69,0.5309096817148072,3.896638042656129,7990.333769179238,63845433.74288609,3.6260065379574016,numeric
