variable,corr_ros_p_model,corr_log_ros_p_model,corr_ros_p_model_log,corr_log_ros_p_model_log,Relation
sW_7_av,0.06548419197744368,0.0554070165233036,0.06434761881949144,0.05515420234798797,Relação Linear
vwv_950_av,-0.0740721159719065,0.020602033257167297,-0.06192983223351427,0.027094530612242814,Relação Linear
rh_700_av,0.03781809438225248,0.02509858234444089,0.04924597207923217,0.036633771443456496,Relação Logarítmica
d_2m_C_av,-0.14486468780331202,-0.16039430055408477,-0.1393625000253486,-0.1311304915810119,Relação Exponencial
gT_7_5_av,0.028463029333260784,0.00117950021297235,0.02400704233229514,-0.003989104523938574,Relação Linear
CMLG_av,0.050522357948921716,0.07115071061231612,0.04319079812270908,0.06451858134516389,Relação Exponencial
fuel_model,-0.03419627405596904,-0.05281611626686375,-0.03419627405596904,-0.05281611626686375,Relação Exponencial
wv_500_av,0.09002590158968472,0.12339644196124028,0.12496391206360807,0.16450275238263798,Relação Potência
rh_850_av,-0.09275152602429966,-0.06373746408359972,-0.09613709890623762,-0.06880607308892661,Relação Logarítmica
wsi_500_av,0.0465316493339342,0.009418988332298189,0.043235553443108594,0.007952214567604832,Relação Linear
wSsin_5_av,-0.1342095145954018,-0.17236036138336153,-0.134343992727598,-0.17259737091155053,Relação Potência
landform,0.057038510353350204,0.010481544516505261,0.057038510353350204,0.010481544516505261,Relação Linear
VPD_Pa_av,0.300045516956261,0.384026187857528,0.2645680803967759,0.3654719963073563,Relação Exponencial
gT_8_7_av,-0.14897406429377333,-0.0990549130002511,-0.1308928983371736,-0.07842933420827396,Relação Linear
wco_300_av,-0.06589117213118907,-0.071087165447827,-0.06537761632942905,-0.0707061039776209,Relação Exponencial
vwv_850_av,0.05100805096826356,0.026813050683924256,0.048509045090358034,0.02515780411384487,Relação Linear
gT_5_3_av,0.005934358802898043,0.014003687701582149,0.004962576783740505,0.01310424309119086,Relação Exponencial
Haines_av,0.14897406429377347,0.09905491300025109,0.11860723897186819,0.06519584049155502,Relação Linear
land_use,-0.14084193324474634,-0.1205875837953121,-0.14084193324474634,-0.1205875837953121,Relação Linear
wsi_700_av,-0.03655343737455527,-0.06385373507150077,-0.034244583591810686,-0.06103637448392622,Relação Exponencial
t_700_av,0.04109248969925186,0.07197140684732098,0.059727124882795815,0.09436361722149397,Relação Potência
wsi_850_av,-0.0712355299008151,-0.10943904051702394,-0.0724420640808606,-0.10776435707397969,Relação Exponencial
gp_950_av,-0.09762183244556741,-0.09299811737803666,-0.09530230401261802,-0.08989639182995629,Relação Linear
8_ny_fir_p,0.04702019715865151,0.036638438617256894,0.06175280361436786,0.056892656157033115,Relação Logarítmica
gp_300_av,0.06735616101546972,0.08444252279117768,0.06781900972804819,0.0849499038849472,Relação Potência
TotCC_p_av,0.08842105273678777,0.11217301776563207,0.04358384256572214,0.04163827173022019,Relação Exponencial
CCL_hPa_av,-0.04234669204258752,-0.03210208069202331,-0.050042613419501614,-0.036060259324197035,Relação Logarítmica
gp_m2s2_av,-0.09121958390473431,-0.09171933385068168,-0.08917856284192305,-0.08331070073955714,Relação Exponencial
vwv_700_av,0.004867766048983816,-0.01980462622070598,0.0048899597444884745,-0.020419984749291374,Relação Potência
rh_2m_av,-0.28306181899514404,-0.3803636049543032,-0.29863896090860653,-0.3787088015546254,Relação Exponencial
aspect_cos,-0.019331189107699823,-0.017231042443791398,-0.020602007886321036,-0.01803761840256851,Relação Logarítmica
t_500_av,0.08638214017145958,0.09273186044362007,0.07500048661685306,0.08235033742788882,Relação Exponencial
sW_1m_av,-0.05850185670274101,-0.08665125430772119,-0.058010173458000636,-0.0857057316158731,Relação Exponencial
Cape_av,-0.05859511021401616,-0.11408502587119841,-0.10046451256177096,-0.12389927960957148,Relação Potência
elev_av,-0.1430855937034091,-0.13915150030571782,-0.11533746635688888,-0.09891109971722915,Relação Linear
t_300_av,0.08842370407178755,0.10105757764887716,0.08408321720921975,0.09752700833540354,Relação Exponencial
wsi_950_av,-0.08747456048582948,-0.15626961150508945,-0.09722283062258136,-0.16539890886741565,Relação Potência
sW_28_av,-0.03742472628069644,-0.047312698322980566,-0.03814257412155621,-0.04802518913374782,Relação Potência
CircVar,-0.1880763715496924,-0.2900078397761458,-0.20202623546991186,-0.30344341627824906,Relação Potência
LCL_hPa_av,-0.262936540886588,-0.3429965284061388,-0.268838624662842,-0.3460690117737348,Relação Potência
EL_m_av,0.1443425686447381,0.13963571006157077,0.15636613124221488,0.17487762380073707,Relação Potência
duration_p,-0.4449362446872634,-0.5593268885116582,-0.48798158280363274,-0.5768066799159124,Relação Potência
FWI_12h_av,0.19934959808734704,0.19853324851006998,0.18693638780272046,0.1841374641481471,Relação Linear
rh_500_av,-0.037666609088628,-0.01683326580358104,-0.06639727893889531,-0.030817386627970615,Relação Logarítmica
gp_700_av,0.02744046241793872,0.03453131362019848,0.027966517459286307,0.03540235724474224,Relação Potência
wv10_kh_av,0.28713346036731763,0.32294717749218405,0.3144291781302069,0.3843415429532015,Relação Potência
